"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
-3.12732173043109,8.62797003496358,-16.1797598163117,2.93034162010829e-35,4.42096792302398e-33,69.5999961370432,"239243_at"
-8.77094193577802,13.3944893001041,-15.9719740434078,1.03972991200444e-34,1.55294059656983e-32,68.342051602056,"214677_x_at"
-1.6098446734974,8.12466032049948,-15.9676792407147,1.06735169381048e-34,1.5784123662132e-32,68.3160069970585,"222358_x_at"
-5.37640572317547,12.2137408514048,-15.9266278773996,1.37147156332864e-34,2.00826463430162e-32,68.0669746691781,"201859_at"
-1.72821388659019,10.4921545908429,-15.8782343768712,1.84343203555496e-34,2.67315542553872e-32,67.7731986124777,"222207_x_at"
-2.60598370637644,8.97870615962539,-15.7675065012098,3.62962053148512e-34,5.21269348637132e-32,67.1001977609346,"243318_at"
-2.05083512442396,10.1835105371488,-15.7450961878257,4.16361656422791e-34,5.92264542888648e-32,66.9638511754326,"239748_x_at"
-2.31310775925744,9.57767219667014,-15.7110478429444,5.12948979935758e-34,7.22774147577404e-32,66.7566100407649,"216858_x_at"
-2.35029306716345,9.22498815879292,-15.6783743557021,6.26702892470706e-34,8.74806953452567e-32,66.5576384111914,"217653_x_at"
-2.75713865320129,9.81306173798127,-15.6468289595902,7.60475531283142e-34,1.05170949400417e-31,66.365445262947,"243249_at"
-3.10988536457823,10.4045318293444,-15.6397234314943,7.94358723657017e-34,1.08849008225149e-31,66.32214188224,"239629_at"
-2.02172173409158,9.07940945764828,-15.6229442551337,8.80500380263022e-34,1.19555942541895e-31,66.2198662607222,"241223_x_at"
-3.20269906216296,9.5613102528616,-15.6201887166579,8.95516306839825e-34,1.20499383414051e-31,66.2030677783539,"232264_at"
-9.06019941817825,12.978888894693,-15.5920423392309,1.06439980814897e-33,1.41945317272437e-31,66.0314414317583,"211430_s_at"
-2.90740280249697,10.6269660101977,-15.4369454783171,2.76117339127149e-33,3.64963590902929e-31,65.0844690517949,"221899_at"
-2.62300572732621,8.26130049573361,-15.4299285263538,2.8830012363073e-33,3.77723740925314e-31,65.0415764445481,"239409_at"
-2.50545687979214,8.90736136899064,-15.4182337803083,3.09813493790604e-33,4.02380377674475e-31,64.9700804566513,"235926_at"
-3.24420221189986,10.067329069719,-15.4054322415611,3.35212069601483e-33,4.31614437204116e-31,64.8918046763477,"227576_at"
-2.26704819428375,9.77958835046826,-15.4034199992518,3.39390004130495e-33,4.33258897580605e-31,64.8794994280987,"226062_x_at"
-2.71743617962545,8.63043822976067,-15.3103914049039,6.01945940989649e-33,7.6192072666283e-31,64.3102375721369,"243561_at"
-2.67324758368467,9.61367750239334,-15.2702336527234,7.71044392091081e-33,9.67757902543898e-31,64.0642796503295,"223494_at"
-9.42182769259732,11.923730122206,-15.2379288681367,9.41059209337115e-33,1.1713050292216e-30,63.8663227001315,"217022_s_at"
-2.54746106768638,10.4530943629553,-15.1907945539001,1.25876903025491e-32,1.55379952362705e-30,63.5773400648691,"243768_at"
-2.56737882615943,9.52040983080125,-15.168172242222,1.4474581042233e-32,1.77206838071141e-30,63.4385774977489,"242471_at"
-4.88017689982678,9.56996036878252,-15.103438013228,2.15915702132757e-32,2.62188368053241e-30,63.0412781106194,"203477_at"
